mass_A
t,x,y
4.000000000E-2,-6.799419448E2,2.062119013E2
8.000000000E-2,-6.854761246E2,2.117566158E2
1.200000000E-1,-6.734531881E2,2.043161261E2
1.600000000E-1,-6.798596011E2,2.046907849E2
2.000000000E-1,-6.855696013E2,2.055438788E2
2.400000000E-1,-6.700818037E2,1.963524248E2
2.800000000E-1,-6.656039279E2,2.069461193E2
3.200000000E-1,-6.682224568E2,2.079903192E2
3.600000000E-1,-6.682264190E2,1.923040618E2
4.000000000E-1,-6.752361339E2,2.124392504E2
4.400000000E-1,-6.813730292E2,2.097476263E2
4.800000000E-1,-6.748325395E2,1.991570662E2
5.200000000E-1,-6.581381425E2,2.422887385E2
5.600000000E-1,-6.117246376E2,2.250629269E2
6.000000000E-1,-5.852056494E2,2.491879925E2
6.400000000E-1,-5.719088723E2,2.954657115E2
6.800000000E-1,-5.363735133E2,3.998009993E2
7.200000000E-1,-5.016864823E2,4.583154425E2
7.600000000E-1,-4.752788746E2,4.792539891E2
8.000000000E-1,-4.792253815E2,4.650951930E2
8.400000000E-1,-4.580134963E2,4.781131470E2
8.800000000E-1,-4.594516434E2,4.664897903E2
9.200000000E-1,-4.448239842E2,4.922068183E2
9.600000000E-1,-4.371759759E2,4.907013865E2
1.000000000E0,-4.373402258E2,5.087863232E2
1.040000000E0,-4.368249764E2,4.962723504E2
1.080000000E0,-4.363022702E2,5.027955655E2
1.120000000E0,-4.273919388E2,5.142531825E2
1.160000000E0,-4.416312062E2,4.824659707E2
1.200000000E0,-4.197116218E2,5.137766304E2
1.240000000E0,-4.629290386E2,3.971262826E2
1.280000000E0,-4.234850423E2,5.041380908E2
1.320000000E0,-4.291592730E2,4.990775755E2
1.360000000E0,-4.218687383E2,4.957375213E2
1.400000000E0,-4.290578031E2,5.020926676E2
1.440000000E0,-3.958751491E2,4.824457629E2
1.480000000E0,-3.915774162E2,4.890262002E2
1.520000000E0,-3.915774162E2,4.890262002E2
1.560000000E0,-3.915774162E2,4.890262002E2
1.600000000E0,-3.944668067E2,4.832474191E2
1.640000000E0,-3.944668067E2,4.832474191E2
1.680000000E0,-3.944668067E2,4.832474191E2
1.720000000E0,-3.944668067E2,4.919155907E2
1.760000000E0,-3.944668067E2,4.919155907E2
1.800000000E0,-3.944668067E2,4.948049812E2
1.840000000E0,-4.060243687E2,4.803580286E2
1.880000000E0,-4.031349782E2,4.919155907E2
1.920000000E0,-3.771304636E2,4.890262002E2
1.960000000E0,-3.800198541E2,4.890262002E2
2.000000000E0,-3.800198541E2,4.890262002E2
2.040000000E0,-3.886880256E2,4.890262002E2
2.080000000E0,-3.915774162E2,4.861368097E2
